hero
LITTLE, ABNER
BLACK WIDOW II/YELEN
ELEJEA
SPRINGER, JERRY
LENO, JAY
VERITUS
ASTROLOGER/
HEDERMAN, LOTTIE
TENKO, CARTER
JAHF
MARITA
INTEGER
IRON MAIDEN II/
OPSIDIAN/
WYNTER
HATCHET-9
BETTY-6
PREECHA
CHAR
KASPIN
FLO
JOUST
LIBRITO
MO
MOK
SLEEK
CYBERSLIK
SHULK
PO
WATTS
QUARRY
CHIRA
UNIT
RAI
AGARN, CAPT.
CHURCHILL, LORD
STEED, MR.
BURST/
GULLO
CRANUS
NESTOR
TERRAX
FOOLKILLER/ROSS EVER
INSOMNIA/
GRIPPO, BILLY
GRAZIA, VINCENT VINN
GATZ, WILLIAM BILLY
PRODIGAL/
PIROUETTE/JOBETH
TENELLE
ADAMS, MARTHA
NACHT, HERR
MARVEL BOY VIII/NOH-
CAPTAIN GLORY
PLEX INTELLIGENCE
DR. MIDAS/
PIPER
SYLPH
SCHOENFELD, ELAINE
HEADMISTRESS/
RIVERS, JERRY
THUNDERHEAD/
DEAD HEAD/
FURY, DAWN
SANDY
LEVIATHAN II/EDWARD
MACKENZIE, DR. NEIL
REAVER/JOSHUA STRAGG
REAGAN, NANCY
DARCO
GLUB
GRACE
TOTEM
HEADCASE
BEAUTIFUL DREAMER II
SOLE, MAJOR REMINGTO
DEATHLOK IV
SENSO
SHREW/MARILYN MAYCRO
TREMELO/
BRIQUETTE/
VAGUE/
KINCAID, MOSES
CONTRARES, ANASTASIA
HOWLER II/ZED
FEIFFER, DEPUTY BEAU
LONGBOW, DESIREE
QUINN, MR.
DEL HIERRO, BLANCA
O'MEARA, KATHLEEN
ZELIG, LON
DIZZIE
HUNT, ROBERTA
YSSA
QUINN, MIRANDA/M'RYN
OX II/DR. KARL STRAG
HARRIS, BERNARD
BOX II/JERRY JAXXON
REAPER
KING CADAVER
MALICE
LORD KARNAJ
BARON MACABRE/
HAMES
SOMBRE
SCORPIO IV
SISTER CHLOE
LEO II/
SASQUATCH II
AQUARIUS III/
PISCES II
HADDOCK, DR. MYRA
TAURUS II/
ARIES III/
CAPRICORN II/
LIBRA IV/
CANCER II/
SAGITTARIUS II/
KILGREW, BASIL BETA
KILGREW, GERARD
DEXAM
VIRGO II
BARON ZEBEK
DARGIL
BRASS BISHOP/
X THE UNKNOWABLE
STRIKER, SAM
FROST
BERENGHETTI, SUSAN
REYES, DR. DANIEL
ANDWELLA
HEAT-RAY/
PUMPKIN
HECATE
EXILE
SU, DR. KO BIN
POWER, LEFTENANT
PROCTOR, COORDINATOR
VENOMM
CAESAR
BROTHER VIRGIL
SANDHURST, VINCENT
BOLT/LAWRENCE EVANS
PARKER, MAY II
LEVINE, ABBY
FIELDS, PROF. WILLIA
CROWN
LANNING, DR.
FIELDS, TODD
FIELDS, MARJORIE
PETERS, SHANA TOC
WEASON, SENATOR
OUIJA/
FLINCH/
OCULUS, LT.
GARABALDI
GUTHRIE, JOELLE
TRASK
ION/
SYRRH
HITCHUCK, KELLY
BANK, IRVING
GAULTHING, ANDERSON
HATE-MONGER V
MICO, RODOLFO
ROBESON, PROFESSOR K
QUENTIN, RALPH
FOWLER, RED
ASTRONOMER
OBLITERATOR [ELDER]
ANSWER II/DAVID FERR
KLEIN, CAMERON
SCHOOLCRAFT, DR. DEN
SUPERCHARGER/
STOCKBRIDGE, CHARLES
SOFEN, KARL AUGUST
SOFEN, MARION
ICEMASTER/
STOCKBRIDGE, DEANNA
SHATTERFIST/
SUNSTROKE/
GILLISPIE, ANDREW AN
HARRIGAN, PATRICIA P
ENTITY
MICAWBER, TRISTRAM
GAMECOCK/
TRUMP/
CHALMERS, MR.
RIVERA, MS.
SANDERS, MAC
GREER, DAVID
LOPEZ, MARIA II
KNUTZ, CINDY
BOSCO, ELAINE
PARADOX
MAGOG
GOG II
DR. PHOBOS
CITYDWELLER/JERRY |
ZEITGEIST, NICOLA
THOR | EARTH 253
PROFESSOR X | EARTH
SISTER PERPETUA
GRANT, GATOR
UNA
SHADOWCASTER/
RODRIGUEZ, DET. PHIL
PARADY, CAPT. RONALD
LUPE
SCUZZ
NAUDA
SKOLL
UROC
EARTH-LORD/KYLE BROC
RASPUTINA, ILLYANA I
GOOM
CHALMERS, CYNTHIA
VIDAR
GRID
MINDSTORM/
RAPTOR/PAUL HAZLETT
TALOS
DESADIA
STORM DOPPELGANGER
DANGOR
WILD BLOOD
LANDA
OCCULUS
DAWSON, DICTIONARY
BOYD, TWO-FISTED TOM
LUBOWSKI, LUGWRENCH
RUIZ, RHYTHM
LEE, LITTLE LARRY
MERENGUES, SMOOTH MA
DREADFACE
JONES, RICARDO
CHEMISTRO III
CHEMISTRO/CURTIS CAR
SHOTGUN II/WALKER
CARBONE, ROSALIE
CARBONE, SALVATORE
CARBONE, JULIUS
FONDOZZI, MICKEY
CANE/
SILENCE/
GAROTTE/
COMBAT/
TEQUILA/
STILETTO II/
ROC/
ZOLA, ARNIM II
JANSON, DR. ANDREA
SILENT ONE
DESAK/DESAK STERIXIA
KRONITT
STERIXIAN, ALMONNAS
PENNSU
STERIXIAN, LOATIA
ASKANI
KO'ICHI
BOAK
TANAKA, RITA
TOSHI
TANAKA, GEORGE
KATSU'TA'RO
KREE SCARLET WITCH [
KREE CAPTAIN AMERICA
KREE IRON MAN [KREE]
REDWING II
KREE GIANT MAN [KREE
AYESHA
BOLERO/
CANDLEMAS/
REDJEK/
PRINCE BAYAN
LOCKDOWN
DANTES, DR. EDWINA
WOLF
CREED
LEVIATHAN V
SKINNER
STEEL WIND
STYGE, REV.
WOODS, TIMOTHY
WOODS, MIRANDA
SENTRY II/BOB REYNOL
VOID
WATCHDOG
REYNOLDS, LINDY
FIREFIST II/
VEGA-SUPERIOR
MEATMARKET
MCKENNA-DRAKE, MARLE
BELIAL
PYRE
INNARDS
ROTWRAP
MALPRACTICE
BLACK WIDOW | MUTANT
DEATHLOK | MUTANT X-
IRON GIANT MAN | MUT
HAWKEYE | MUTANT X-V
HUDSON, JAMES | MUTA
TYPHOID MARY | MUTAN
KARKAS | MUTANT X-VE
ANCIENT ONE/BARON MO
GORGON | MUTANT X-VE
BLACK BOLT | MUTANT
BEYONDER | MUTANT X-
DR. STRANGE | MUTANT
MAN-SPIDER | MUTANT
KARNAK | MUTANT X-VE
SERSI | MUTANT X-VER
HULK | MUTANT X-VERS
POLARIS | MUTANT X-V
TRITON | MUTANT X-VE
MEDUSA | MUTANT X-VE
IKARIS | MUTANT X-VE
DR. DOOM | MUTANT X-
WHISPER II/
PULSE II/
SWIFT/
WARFARE/
SHIFFMAN, MAXIE
PULSE/
WHISPER/
METABO
DEVINE, ANTON
CUTTER
TRI-SENTINEL
MUNOZ, CARLOS
DONALDSON, LINDA
CAPTAIN AMERICA V/RO
LANCELOT, SIR
VILLA-LOBOS, GETULIO
HATORI, DESMOND
SUPREMOR
BATTLEAXE/
DEATHSTROKE/
MANGLER/
WRANGLER/
MYSTERIA/
ICE PRINCESS/
IRON MAIDEN/
KNOCKOUT
SNAPDRAGON/SHEOKE SA
MINDBLAST
PEARSON, AUBREY
KELLOG, SHERIFF L.B.
IDUNA
MARTINEZ, LINETTE
MILLENNIUM MONARCH
X'HOSS
JAGRFELM [ASGARDIAN]
KRAY, D'VON
RAZORBLADE II/
ZEALOT/MOREAU
CACTUS
DEANGELO, DEVLIN
WEYING, ANN
MAN-OF-WAR
DOOMSDAY MAN II
SMALLWOOD, DAN
HEPHAESTUS
ARTEMIS
PROMETHEUS [OLYMPIAN
EXETER, LT.
MARISSA (OF GENE-TEC
FLORES, DAHLIA
FLORES, SHANICE
BATAL/
UNDERTAKER/CONRAD EI
KLOSS, BERNARD
SKIN, NYLA
HOUSTON, STELLA
FAWN, FELICIA
MISFIT/
KHOON
YELLOW CLAW ROBOT
SUNTURION II/MIKE ST
SHAARA
JANUS II
JUDE
QUAYLE, DAN
CYCLOPS | MUTANT X-V
BINARY | MUTANT X-VE
NOVA II | MUTANT X-V
SILVER SURFER | MUTA
DUGAN, DUM DUM | MUT
FORGE | MUTANT X-VER
NIGHTCRAWLER | MUTAN
CREED, GRAYDON | MUT
ROGUE | MUTANT X-VER
CEREBRO MARK XIII |
SUNFIRE/SHIRO YASHID
SHADOWCAT | MUTANT X
LOCKHEED | MUTANT X-
COLOSSUS II | MUTANT
SUB-MARINER | MUTANT
GREEN GOBLIN | MUTAN
QUICKSILVER | MUTANT
SELENE | MUTANT X-VE
STACY, GWEN | MUTANT
UATU | MUTANT X-VERS
GRIMM, BEN | MUTANT
MYSTIQUE | MUTANT X-
MOLE MAN | MUTANT X-
PUNISHER/FRANK CASTL
KIRIN
FROSTBITE/DR. SLOANE
DEGANN, KRIS
WALTERS, CHAP
MINOTAUR
AGAMEMNON
ULYSSES
HECTOR
DELACORTE, ARTHUR
GANCE, TABITHA TABBY
FIXX
MONDO
RAVENWOOD
COFFIN, WARDEN JOHNS
BAXTER
SOMERS, JOHNATHAN
GARNOK REBBAHN
KLEB, ROSA
SPETSBURO, GEN. YURI
TERREL, DEBORAH
D'ALEXIS, AMBER
SHANZAR
SOMON
TUNDRA
KOLOMAQ
ARLINGTON, DR. MARCU
BARKER, MATTHEW T.
JACKKNIFE/JACK COLE
BAILEY, GAILYN
BAILEY, JOEY
FIELDER
CHECK
PSIMON
SAMSON
CYPRESS/
PHANTOM
GUARDIAN III
STARK, MARIA CARBONE
BAIRD, DR.
DOC
DANVERS, JOE
SCARLOTTI, MICHAEL J
MERCY
HULK IV
LANDERS, DR.
LEESHA
IDRIS
HASSAN
TECHNOCRAT/RANDY
WHITE BIRD/AMARA
NIGHTFIGHTER/
ARGOS
VEEG
PYRE II
STRANGLEHOLD
ZONA
INFINITY
PARETTI, TONY
RYDER
RIOT/HEIDI SLATKIN
DICE/ROB FORTUNE
MOONSTOMP/
KUROV, WASSILY
CATWALK/KIMBERLY DEE
BARTON, SEN.
WILLIS
BENAZA
ALPHA
RAKIM, SEN. KAMAL
TAYLOR, JACK
JIOMO
MCPHAIL, NATALIE
RICHMOND, DELROY
LEOPOLD, ARCHER
VAZIR, DR.
HACK/
VISALIA
WENDIGO VI/LARRY
WENDIGO V/ANDRE
VOLX
JEFFRIES, MAGGIE
MOTHER OF PEARL/
AVATAR
BOBCAT/
BULLET BIKER
SHADOWKNIGHT/RANDALL
PRINCESS NEPTHYS/SAN
BLOODHOUND/
KRAFT, DONNA
MODEM/
CACHES, FABIAN
BLACK TARANTULA/LAMU
GUTHRIE, LUCINDA
STACY, HELEN
AZOR
ACROBAT/CARL ZANTE
MORNING STAR/ZVEZDA
DR. VOLKH/VLADIMIR O
SVYATOGOR/SASHA POKR
BOGATYR/MIKULA GOLUB
ARACHNE
SCINTILLA
ANTRO
LAMBERT, WILSON
REILLY, MAVIS
MANIPULATOR II
P
Q
VOR/TEX
BENNING, VERONICA
GRANT, PHILLIP
DRACCHISS
WALKER, JILL
PILEDRIVER
COLOSSUS
ZANKOR/JAY STEVENSON
DR. MIME
INES, DR. DIDIER
SNIPER/VON BURIAN
RED SHIFT
CACHE
RIDGEWAY, DAWN
HOARD, JOSH
RAKKUS
JONES, AUGUSTINE
K'RIN
GODWULF
INNOCENT
MERRIAN
FOLD
JERICHO, DUNCAN
KALIN KARTH KITH
JERICHO, JUSTINA
SHAW, SAMARRA
TRICKSTER
TULL
WILLIAMS JOHN
BLINDSIDE II/BOBBI C
LONGBOW/AMELIA GREER
TIMEBOMB/LOUIS JOUBE
LIFELINE/DEACON
PISTON/ANDREI SEMYAN
RANGER II
WARHAWK III/TOM NAKA
NAMELESS ONE II
TIAMAT
BLACK CRANE/
SUNDRAGON/PAMELA DOU
LIPTON, LAURA
DARROW, MARISSA II
CORTES, MARIA PILAR
SANDOVAL, DIEGO
VARGAS
THAIS
MONSTER FROM THE LOS
DEPALMA, MR.
HANCOCK, CALISTA
KYSA
LORD YARU
ECCE [WATCHER]
BERNHARD, CLARICE
GILBERT, PROFESSOR G
VESTA
FONG, DR. CHARLES WA
SPECTRA/SELENA SLATE
NIGHTSTICK/
CUFFS/
WIRETAP/
SHERIDAN, LEAH
COBWEB
HAZARD/CARTER RYKING
RYKING, ALEXANDER
BERTRAM
PIXIE II/
LIN, MEI
DELGADO, LUZ
TREVANI, DANIKA
MCCORMICK, FIONA
FIREFLY II
B'KOSA, GEN. JONATHA
MONTANA II
ARSENAL II
SIMMONS, ARCHIE
NZAGA
NAMELESS ONE
SKUL/JOHN SKULINOWSK
M-80/SAYURI KYOTO
NAILS II/JOANIE EATO
KID/E.B. FARRELL
BURGOS, CARL
TOFIELD, FRANCESCA
SCHEELE, STEPHANIE
MEAGHER, TYLER
CAT IV
INSHALLAH, KHALID
DAN-FARR
TYRUS
DEMONSTAFF
HARDBALL
SEAWEED MAN
ARROW
MASTER TWELVE
SKARLET
KEMPLETON, PROFESSOR
THOMAS, JEANIE
SNAKE-EYES
VERSCHLAGEN, FRAU
COLE, PRISCILLA
PIERSON, FRED
BLOODVESSEL, BUSTA
ANANASTASIA/ANNA
RASPUTIN, LUCIFER
WALSH, CAPT. ALEXAND
ZARATHUSTRA
MOSES
SANDOR, PROFESSOR IS
VIBRAVORE
ALVAREZ, PAUL
WOO, SONIA
PO, KIM
GO-DEVIL/GO ISHIMORI
GRANT, SILAS II
WINDEAGLE/HECTOR SAN
TECH-NOIR/
SINEW/
FIREBUG/
MISS MASS/
STRONGARM/
BILE/
AURORA DOPPELGANGER
WILD CHILD DOPPELGAN
ROK
WYRE/
JACKAL II/WARREN
DIBBS, LIONEL
WALRUSS
KILLER CLOWN
DEX
SIMS, EZEKIEL
MORLUN
JACOBY, KYLE
HARRINGTON, PRINCIPA
CANDLER, OWEN
PARKS, JOE
PARKS, JUDITH
LITTLETREE, LINDA
DEADMAKER/GREGORI AN
TOLLIVER, EMMA
SUNSET GRACE
BLINK/FERGUSON, CLAR
HARVEST II
KWANNON
SUMMERS, PHILIP
SUMMERS, DEBORAH
TEUTONIC KNIGHT/FRAN
GARGOYLE/IGOR DRENKO
SCARLET SCARAB/DR. F
RAYMOND, NORA JONES
RAYMOND, FRED
STRUNK, BELLA
SAINT, AMANDA
BIGGERS, MELVIN
INGOT/
ANTIQUARY/
BENWAY, DR.
RED RONIN
STANFORD, DWIGHT ROL
AGEE, DR. AUBREY
AGEE, REBECCA
MILLER, CHRIS
MURPHY, MELISSA
MOON WOLF/
MILLER, STACI MURPHY
SOTO, BERNARD
ERIC THE RED II
STONE, MARGARET
ENTITY II
TU
KAREL
AYALA, NESTOR
SCAR THE STALKER/BRI
FAZE
LOOP
BLOWTORCH/
ARCHER/JUDE BLACK
GREYSTONE/BRIAN YOUN
LEASH, MICAH
BLACK, RACHEL
STEWART, MARY
DE LA COURTE
YOUNG, LOUISE
YOUNG, MR.
BLACK, CAL
YOUNG, AGNES
SEERESS
DETHSTRYK
RAZORFIST
BELGRADE, DR. HORATI
WATERS, SETH
YOUNG, LAWRENCE
GOYER, SAUL
HUMBUG/PROF. B. MITT
KRYZEWSKI, LEONARD M
MARTINEZ, CARMELLO
ISLEY, LYNN
BERDITCHEV, ITZHAK
DEVOURER
BROTHER AXE
WARR
G'RATH
24-HOUR MAN/EMMANUEL
MOURNING PREY
KEERG
LOPEZ, JOSE
LOPEZ, MARIA
LOPEZ, ANTONIO
LOPEZ, SALMA
SAGE, HENRY
GANNON, SGT. FRANK
AUTHORITY/
CERBERUS II
HARPY II
SPHINX III
MINOTAUR III
MEDUSA II
MAJOR LOVE
BEAUMONT, SPENCER
OGADA, DR.
CLEARCUT/
MINDMELD/
MUNROE, DAVID
BLOOD-TIDE
MADSDEN, TREVOR
TANTRUM/
DON, GAI NO
BALABAN/
PAVANE
INFERNO
PARSONS, DR. DEREK
LOMENZO, NICOLE
WYNDHAM, LUCAS
CARRION III/DR. WILL
KALI
ST. CROIX, LOUIS
TREVOR, STEVE
PRINCE, DIANA
FOX, PHIL
MR. LUCK/RAMON GARCI
TAKIMOTO, RON
POGUE, BARTON
BARONESS ZEMO/HEIKE
CAT BURGLAR
BELLADONNA
PARRISH, MAX
ST. GERMAINE, COMTE
KARYGMAX
GRENDEL'S MOTHER
CAPTAIN RECTITUDE
ABOMINATRIX
THREE-FACE
SURGE
KEATON
BROTHER CAESAR
BLURRY
STINKY
WARPY
SPIKEY
WINDY
BRAINY
LANIEGE, BIANCA
PARADOX II
BANNERJEE, DR.
GREASY
SINGH, DR.
SLAUGHTER II/CONSTAN
CAIRN, DET.
THANADEMOS
KERIVAK
ARIA
MARIK
KHAN
HOSEK, BULL
SUKHAROV, VIKTORIA
SUKHAROV, DIMITRI
POWERHOUSE IV/
KOLE, MICHELLE
HIGGINS, JANE
HIGGINS, RICHIE
KOLE, JOHN
ROSETTA STONE
LOWELL, DR.
SUTTON, JOHN
FIRESTRIKE/DALTON BE
LOBO III
ASHUR
BLACKWING II/
RIOT II/
WARBOW/
ROLLINS, MRS.
STRONGHOLD/
TRAYNOR, HARLEY
BIOHAZARD II/FLETCHE
DECIBEL
BARRACUDA/
ROSELLINI, ROBERTA
SPARK
PAINTER/WILHELM VON
MOTHER INFERIOR
PESTER
ENT
RIPSTER
SLAMBEAUX
PRETTY LARRY
URSON-WELLZ
SIMBUS
JOVAN
EQUINOX/TERRY SORENS
CENTURIUS
HELL-EYES
IGOE, MAX
SILENCER
SCARPETTI, ALPHONSE
TSERRON
LONKARR
ATLAS III
SEDNA
DEADLY DORIS
SEEKER III
BRANNEX
BARROWS, WALTER
WU, SONIA
LIN, PAULA
SNOWBIRD | MUTANT X-
AURORA | MUTANT X-VE
GUARDIAN | MUTANT X-
NORTHSTAR | MUTANT X
PUCK | MUTANT X-VERS
SHAMAN | MUTANT X-VE
MOOT
HAVOK | MUTANT X-VER
DAREDEVIL | MUTANT X
BULLSEYE | MUTANT X-
MAN-SPIDER CLONE | M
CALLISTO | MUTANT X-
SHREEVE
AINET
KIKO
ARMSTRONG, MYRA
PILGRIMM
MCKENZIE, LEONARD
STONE-FACE
LIONMANE/GEN. LO CHI
SAI/
PAST MASTER/PROFESSO
MUSTANG/
PROSPERO, DR./HARPER
HESSLER, WOLFGANG
MARTINEZ, MRS.
HARRIGAN, CHESTER CH
SKULLCRASHER/
BRANDEIS, CAMMY
BRANDEIS, PROF. HENR
BRANDEIS, LIZ PARRIS
TILTON, ROLAND R.
SUPER-NOVA
FAHE
ABCISSA
PLASMA WRAITH
SHIVA
REIKO
KOJIRO
WORM
REMORA
LANGSTROM, LIEUTENAN
RAMAN
BLACK MORAY
HENDERSHOOT, COLONEL
LUCIFER II
SILVER II
URANIUM
CESIUM
NEPTUNIUM
GOLD
RADIUM
CALIFORNIUM
PLUTONIUM
NAUTILUS
RAZORWIRE
SLIDE
HO TI
MINSTER HOARD
MINISTER TOME
HETH'SA
DUCRESTE, ABRIAN
MASTIFF, MINNIE
QUIET BILL
MICHELLE
RHODES, MR.
CHAKA KHAN II
WHITE DRAGON II
FROST, DEACON
FANDRAL | MUTANT X-V
NOVA | MUTANT X-VERS
BETA RAY BILL | MUTA
GARGOYLE | MUTANT X-
STRONG GUY | MUTANT
DR. OCTOPUS | MUTANT
POWER MAN II | MUTAN
BLACK PANTHER | MUTA
ABOMINATION | MUTANT
ABSORBING MAN | MUTA
IRON FIST | MUTANT X
THOR | MUTANT X-VERS
BROTHER VOODOO | MUT
VALKYRIE II | MUTANT
DEVIL DINOSAUR | MUT
HOGUN | MUTANT X-VER
NAMORITA | MUTANT X-
FIN FANG FOOM | MUTA
VOLSTAGG | MUTANT X-
DRAX | MUTANT X-VERS
STINGER/
ANGEL II/THOMAS HALL
DEATHSHIELD/
JAGGED BOW/
BLOOD SPIDER/
FITZGERALD, KENNY
ABBOTT, JACK
COPPERHEAD IV/
VOID-EATER
SHADOWOMAN/JILLIAN W
GAUNT II
PRINCESS SANDELLA
AZAZEL
HAMID, SHEIK
CIRE, EYLA
CARMODY, MRS.
SHIN
CROSS, JASON
GLEASON, KAREN
CIRE, EZRA
CIRE, MANUEL
KITAGOWA, DR. KITTY
FRANKENSTEIN, BASIL
DRAGONHEAD
DAI-KUMO
GANNON, RICH
CARLY
CARR, DAN
SCORPIA
PROTO-GOBLIN/VAN ADD
MARLES, DR. THOMAS
ANTORO
BECKFORD, NOEL
LOBO, LUCKY
CARDENAS, PACO
BEAR/
CHAUFFARD
REMIPED
BLUNT
STUART, DR.
EVILHAWK/DARGIN BOKK
PARTRIDGE, STEVE
GOULDING, DR.
O'DONNELL, EAMON
JARMAN, TOMMY
GRAVEMOSS
SHRILL/
AUTOLYCUS
JUDGE KRAY-TOR
COMMANDO/M-NELL
PRIMUS II
TELLIS
BANSHEE 2013
JARDINE, AMANDA
WISDOM, HAROLD
GANTRY
ORBIT
SATELLITE
VACUUM
WALKER, MICKEY
HALE, NAN
GRANT, MARY MEEKS
HALE, TOM
WOLFE, MR.
GRANT, DONALD
DABOIA, RUSSELL
TETHERBLOOD/
CROIX, ASHLEY
MORELLE, NOLAN
NIGHTWATCH/
VANDERGILL, GEORGE
RAPTAR
HOLKAR, DR. SHYAM
CELLANOS, MARCELLA
MURPHY, SEAN
SKULL-JACKET
HAVERSHAW, ANDREA
VANE, ROGER
FROST, BYRON
KAZAKI, SHINJI
KAISHEK, YOLYN
KAISHEK, HAAN
KAISHEK, GOM
CURSON, LT. TARA
CARVER
CHEN, JOANNA
SAPIR, HERSCHEL
WATSON, TOMMY
DENNAGER, MICHAEL
BRUKNER, DR. FRANK
MASTERMIND V
SIR BENEDICT
COLE, LYNETTE
CHIANG, PROF.
HURDLER, THOMAS
WATKINS, STEVIE
WATKINS, MELODY
MAHONEY, GINNY
BERMAN, ADAM
FREAK QUINCY
SAMURAI STEEL/YOSHID
ARIANE
MARVEL BOY/MARTIN BU
BREAKER/RAAK
CLEARWATER, JUDGE MA
KITCHENER, CHIEF INS
SHALAK
PAYNE, MICHAEL
PAYNE, EDWARD
COWAN, EARL
LEFLER, BOB
BUMPKIN
KO-GAR
LAO-TSE, GEN.
LESTRADE, DR.
VAN NUYS, PROF. RODE
FISHER, PROF. FRANCE
RIFKIN, MARJORIE
CORDOVA, JUAN
QUORUM/
MOSH/GLENN
BELLE
JASMINE
WRAITH II/HECTOR REN
PROVENZANO, PAULIE
MELLACE, TONY
GADRIEL
OLIVIER
SARIEL
ARMAROS
AZAZEL II
STALKER
MOBIUS, DR.
ECLIPTIC
KRYPT, DR.
CHINOOK
DIRECTOR X
VIENNEAU, JACQUES
STARR, JACQUELINE
RON, DAN
DEATHLOK II/COL. JOH
BIOHAZARD
ANGSTROM, EARL
POWDERKEG/FRANK SKOR
KELLY, SARA
KELLY, KAREN
KIMBLE, DR.
DEATHLOK III DOPPELG
SUNSPYRE/LEYU YOSHID
WESTPHAL, SIMON
TRASK, DR. DONALD TR
MS. NOVA
UGLY JOHN/STEVE
BIG ONE/KENJIRO SASA
PELE/MICHI SASAKI
CYBERTOOTH/YEN HSIEH
IREZUMI/
SHIGARU
ANAMI, HIROSHI
HINKLEY, ADMIRAL
TITAN, TRISH
CONRAD, LUTHER DUTCH
FUTURIST
RAZORBLADE/
SLASHER II
DORREK II
WATCHLORD/
STEEL SPIDER/OLLIE O
CORDITE
CLASH/
BOMBADIER/
STAMPEDE/
SHOT/
FLARE/
ARMSTRONG, ?
SHELL/
HOTAMITANIO
OWAYODATA
NANABOZHO
VULTURE III/DR. CLIF
KANGAROO/FRANK OLIVE
LANGTREE, GINA
BLACKBIRD/
HAAG
VISARA
POMEROY, SYLVIA
LORD OF LIGHT/BOWEN
VERMIN II
PAGAN
SPENCER, TRACY
DOMINEX
GATES, JUNIOR
STORM, CHILI
KHATYLIS
ZAKKA
PONG, WU
WANG, LI
JUGGERNAUT | MUTANT
MACTAGGART, MOIRA |
SHADOW KING | MUTANT
PANDEMONIA
PELE II
KROTOK
BORAKU
STYRAK
WEAVER, ZEKE
LEONARD, DR.
BENCHLEY
KRUELLA
CISCERNOS, SELENA
SMITH, WANDA JO BIAL
SAUNDERS, DABNEY
SILVERCLOUD, SAM
TASHA
ROULETTE/DUDE JENSEN
COACH
DOOP
ANARCHIST/TIKE ALICA
VIVISECTOR/MYLES ALF
PHAT/BILLY BOB REILL
U-GO GIRL/EDIE
SAINT ANNA
BLOKE/MICKEY TORK
ORPHAN II/GUY SMITH
PLAZM
SLUK
LA NUIT
ZEITGEIST II/AXEL CL
BATTERING RAM
GIN GENIE/BECKAH
RYCHENKO, MAJ. VALEN
PROGENITOR
RACAL, CONSTANTIN
WENTWORTH, JENNIFER
LLAN
TALISMAN III/NAHITA
DREAM QUEEN
FIDDLER, BARNEY
D'WON
KONO
BOSHLOVOR
JOCASTA II
ANTI-VISION
TABULA RASA
QUASAR
MANNING, ERIKA
ALBUQUERQUE, JEREMIA
EPURER, GISCARD
LEGS/
DOGGEREL
SLAVINSKI, SALLY
BRUTUS II
MONMOUTH
QUISLING
FAWKES
PACE, MICHAEL
POWER MAN III/STEELE
HAMILTON, MICKY
ANIMATOR II/
CINDER/
ANDERS, JOSHUA RICHI
KICKBACK/RICHARD
LEGS II/
BLASTING CAP/
GOLDIELOCKS/
RAZOR/
LUCAS, JAMES
STRYKER, WILLIS
ANGELOPOULOS, ANGEL
BLOTT, BRIGADIER INK
SA'TNEEN
DAMBALLAH II
STERNBERG, DR. BERTH
JOSTEN, LINDY
JZEMLICO, WARDEN
SILVER FOX/BAYAN
SHADOW QUEEN/SHIALMA
PHARAOH KHAFRE
BURNING PUDDLE
HARMONY
CYCLOPS II
MISS SACCHARINE
MISTER CLEAN
KANE, SUGAR
WARP SAVANT
WATANABE, EMMALINE B
NUADA
MANITOU
TEZCATLIPOCA
ITZAMNA
SVAROG
TERRAXIA
CHANDLER, PEGGY
KEREM
BLOODWRAITH/SEAN DOL
TEN-THIRTIFOR
PELIALI
BARRANCO, MARIA ESME
ICHIHARA, SHIGERU
MADAME MASQUE VI
ICE WORM
ULTRA-MAX
SIEGE/JOHN KELLY
GARRETT, JOHN
BITMAP/
KILLOBYTE
STEEL COLLAR
WIREHEAD
INFOMORPH
TECHNOSPIKE
SPECTRUM, SINCLAIR
PEACEKEEPER/JOSHUA
JILLETE, RANDI
JENKINS, WALTER
BLACKWULF
WAGNER, ERNIE WHACK
DENNEHY, ROBERT
PHOBOS
DEMITRIUS
BETELHEIM, NORMA
HALFLIFE
MAD VIKING/KNUT CAIN
MCNAIR, TAD
SMITH, DAPHNE
KRUGGAR
BALLANTINE, MRS.
PAINE, DR.
MIESHO
ROSSIN, DR.
CASEY
COLDHEART
FULLERTON, MARY ELLE
DIAMOND HEAD
COYOTE
O'SHAUGNESSY, COLLEE
THUNDERBOLT II/LUIS
GILMORE, BERT
CAPTAIN FATE
FAROUK
SHAW, MILDRED
GREGORY, TODD
WOLMAN, GIDEON
FELDSTADT, DR. HANS
PRIMAX/JAROMEL
GESTALT
DICHINSON, RICKY
MR. FEAR IV/ALAN FAG
PROFESSOR GIBBON/
DRAKE, MALCOLM
BULL
WILDPRIDE/KYLLIAN
BOND
RAZOR WIRE/
SIMMONS, RANDALL
PERSEPHONE II
COVEY, LAWRENCE K.
CANCELLATOR
FAVERSHAM, DAPHNE
CORAL
B'GON
SHADOW-HAND/LI CHUN
BARON SAMEDI
UNDERTOW
SHEPPARD, JOAN ACE
KALUU
RAGA-SHAH
CONROY, KAREN
BRADLEY, JESSICA
STERLING, SID
STILWELL, RON
FULLERTON-SMITH, CAS
CLARISSA
SCRIER JR.
WHITE, PROFESSOR
EDITOR
OMERTA/
ARMAZIEL
X-RAY II/
DE LA JOYA, SISTER M
THOMAS, DR. STAN
ATOM SMASHER/
BRAWLER
WRECKER II
SANCHEZ, DET. LOUISA
MACKAY, MURDO
DULTRY, MARGARET
RASCAL/
